Headers,Label,Type,Description,Admin.profile,Analytics Cloud Integration User.profile,Analytics Cloud Security User.profile,Chatter External User.profile,Chatter Free User.profile,Chatter Moderator User.profile,Chatter Only User.profile,Company Communities User.profile,ContractManager.profile,CPQ Integration User.profile,Customer Community Login User.profile,Customer Community Plus Login User.profile,Customer Community Plus User.profile,Customer Community User.profile,External Identity User.profile,Guest License User.profile,High Volume Customer Portal User.profile,MarketingProfile.profile,Partner Community Login User.profile,Partner Community User.profile,ReadOnly.profile,Restaurant POC.profile,Restaurant Portal Profile.profile,SolutionManager.profile,Staff.profile,Standard.profile,StandardAul.profile,Work%2Ecom Only User.profile,Field_Service_Mobile_Permission.permissionset,Files_Connect.permissionset,Inspector.permissionset,Platform_Encryption_Management.permissionset,Restaurant_POC_Knowledge.permissionset,Supervisor.permissionset
Account.AccountNumber,-,-,-,-,Read,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edit,-,-,Edit
Account.AccountSource,-,Picklist,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.AnnualRevenue,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.BillingAddress,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.County__c,County,TextArea,-,Edit,Edit,Edit,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,Edit,Edit,Edit,Edit,Edit,Edit,-,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Account.Description,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.Fax,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.Industry,-,Picklist,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.Jigsaw,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.NumberOfEmployees,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
Account.OperatingHoursId,-,Lookup,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Account.Ownership,-,Picklist,-,-,Read,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edit,-,-,Edit
Account.ParentId,-,Hierarchy,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,Edit,-,-,Edit
