Headers,Admin.profile,Analytics Cloud Integration User.profile,Analytics Cloud Security User.profile,Chatter External User.profile,Chatter Free User.profile,Chatter Moderator User.profile,Chatter Only User.profile,Company Communities User.profile,ContractManager.profile,CPQ Integration User.profile,Customer Community Login User.profile,Customer Community Plus Login User.profile,Customer Community Plus User.profile,Customer Community User.profile,External Identity User.profile,Guest License User.profile,High Volume Customer Portal User.profile,MarketingProfile.profile,Partner Community Login User.profile,Partner Community User.profile,ReadOnly.profile,Restaurant POC.profile,Restaurant Portal Profile.profile,SolutionManager.profile,Staff.profile,Standard.profile,StandardAul.profile,Work%2Ecom Only User.profile,Field_Service_Mobile_Permission.permissionset,Files_Connect.permissionset,Inspector.permissionset,Platform_Encryption_Management.permissionset,Restaurant_POC_Knowledge.permissionset,Supervisor.permissionset
ActivateContract,True,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ActivateOrder,True,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ActivitiesAccess,True,True,-,-,-,-,True,True,True,-,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,-,-,-,-,-,-
AddDirectMessageMembers,True,True,True,True,True,True,True,True,True,-,True,True,True,True,True,True,True,True,True,True,-,True,True,True,-,True,True,True,-,-,-,-,-,-
AllowUniversalSearch,True,-,-,-,-,-,True,True,True,-,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,-,-,-,-,-,True,-
AllowViewKnowledge,True,True,-,-,-,-,True,True,True,-,-,-,-,-,-,-,-,True,-,-,True,-,-,True,True,True,True,-,-,-,-,-,-,-
ApexRestServices,True,True,True,True,True,True,True,True,True,True,-,True,True,-,-,-,-,True,-,-,True,-,-,True,True,True,True,True,-,-,-,-,-,-
ApiEnabled,True,True,True,True,True,True,True,True,True,True,-,True,True,-,-,-,-,True,-,-,True,-,-,True,True,True,True,True,-,-,-,-,-,-
ArchiveArticles,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AssignPermissionSets,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AssignTopics,True,-,-,True,True,True,True,True,True,-,True,True,True,True,True,-,True,True,True,True,True,True,-,True,True,True,True,True,-,-,-,-,-,-
AuthorApex,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BulkMacrosAllowed,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CanInsertFeedSystemFields,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
